BuyerOfficeName,closed_sales,total_sales_volume,median_close_price,average_close_to_original_list_ratio,average_days_on_market
eXp Realty of Greater Los Angeles,1037,715940339.0,630000.0,0.9787828533006808,42.78688524590164
Team Forss Realty Group,261,696438659.0,700000.0,4.731905749931534,42.727969348659
Barry Estates,172,693649510.0,3125000.0,0.988862159141939,58.25581395348837
Luxury Collective,918,645080519.0,650000.0,0.9878533463538413,42.99891067538126
RE/MAX Gold Coast REALTORS,860,642497264.15,739475.0,0.9820499284201256,37.431395348837206
"eXp Realty of Greater Los Angeles, Inc.",899,633543319.0,554000.0,1.1895460741084283,42.17686318131257
"Circa Properties, Inc.",753,624654714.0,810000.0,2.491305614662503,28.698539176626827
Vista Sotheby's International Realty,537,617252034.5,754000.0,0.9728998251080065,38.666666666666664
Wells Estates,5,616874000.0,875000.0,189.70240210818167,29.8
Dudum Real Estate Group,464,599250816.0,1050000.0,1.007918558953889,27.829741379310345
Wetrust Realty,613,598705908.5,855000.0,0.9913928165246604,40.3278955954323
Alliance Bay Realty,521,597195833.0,1000000.0,1.0229735044201078,28.593090211132438
OUT OF AREA - NON MEMBER,610,588101085.0,731250.0,0.9955261621329435,34.39180327868853
Pacific Sotheby's International Realty,347,587964264.0,1145000.0,0.9714528121694437,37.170028818443804
"LPT Realty,Inc",588,562080471.0,803750.0,0.9707245749609685,32.6921768707483
Non-member Office,710,561866396.0,4859.0,0.9781047768461703,39.530985915492955
Allison James Estates & Homes,739,560610814.0,640000.0,2.591253575488434,46.7212449255751
Westside Estate Agency Inc.,148,554846724.0,1077500.0,0.9391458541675224,50.979729729729726
Keller Williams Pacific Estate,678,549632976.0,765000.0,1.012866216157762,30.669616519174042
Pardee Properties,499,536820263.0,699000.0,18273.52687339241,42.4749498997996
Circle Real Estate,778,535189342.0,674250.0,1.0133536682834083,36.505141388174806
The GRUBB Company,311,533937915.0,1500000.0,1.1706718006035235,22.7524115755627
Willis Allen Real Estate,388,524808237.0,1100000.0,0.9929758564433967,35.381443298969074
Carmel Realty Company,165,522497428.0,2625000.0,0.9454978088577906,66.10303030303031
eHomes,778,521156945.0,607500.0,0.9840537682986754,40.401028277634964
HomeSmart,1127,515563285.0,433000.0,2.484761408818554,59.15705412599822
