field,iqr_outlier_count,iqr_outlier_pct,outside_p01_p99_count,outside_p01_p99_pct
ClosePrice,24440,0.04842634202788279,9915,0.019645956677841976
LivingArea,23406,0.04637753524978006,10081,0.019974875367556728
DaysOnMarket,35222,0.0697902053562229,5023,0.009952762520706026
price_per_sqft,9651,0.01912285707492213,10094,0.020000634060124752
close_to_original_list_ratio,57834,0.11459447892146372,10080,0.01997289392966688
close_to_list_ratio,82577,0.16362119662997043,10093,0.019998652622234905
