field,q1,q3,iqr,lower_bound,upper_bound,p01,p05,p95,p99,missing_count,iqr_outlier_count,iqr_outlier_pct,outside_p01_p99_count,outside_p01_p99_pct
ClosePrice,112000.0,1070000.0,958000.0,-1325000.0,2507000.0,1800.0,2695.0,2495000.0,4925509.999999952,0,24440,0.04842634202788279,9915,0.019645956677841976
LivingArea,1184.0,2152.0,968.0,-268.0,3604.0,497.0,736.0,3534.0,5448.0,0,23406,0.04637753524978006,10081,0.019974875367556728
DaysOnMarket,9.0,52.0,43.0,-55.5,116.5,0.0,2.0,135.0,238.0,0,35222,0.0697902053562229,5023,0.009952762520706026
price_per_sqft,97.58850324439678,644.9826279717178,547.394124727321,-723.5026838465848,1466.0738150626994,1.432832339867738,2.1812893843916625,1101.3435220096565,1746.6295830176834,0,9651,0.01912285707492213,10094,0.020000634060124752
close_to_original_list_ratio,0.9494949494949496,1.006825938566553,0.05733098907160339,0.8634984658875445,1.092822422173958,0.7201440288057611,0.8482758620689655,1.09606404269513,1.2647058823529411,564,57834,0.11459447892146372,10080,0.01997289392966688
close_to_list_ratio,0.9789473684210528,1.0088383312961315,0.029890962875078753,0.9341109241084347,1.0536747756087497,0.834597875569044,0.9194468450872237,1.0909090909090908,1.2402113569730295,0,82577,0.16362119662997043,10093,0.019998652622234905
